# CentralScrutinizer Simplified Chinese
Central Scrutinizer	掌机远程管理
Enabling this will temporarily change the launcher's screen timeout setting while Central Scrutinizer runs in background mode. The previous timeout is restored when background mode ends.	启用此功能后，掌机远程管理在后台运行期间会临时更改启动器的屏幕超时设置。后台模式结束后将恢复原设置。
Trusted clients are remembered. Pairing codes refresh after each use. Press Y to add another client.	受信任的客户端会被记住。配对码每次使用后都会刷新。按 Y 添加其他客户端。
Open the URL in a browser or press Y for QR pairing. Pairing codes are single-use and refresh automatically.	请在浏览器中打开网址，或按 Y 使用二维码配对。配对码仅可使用一次并会自动刷新。
Could not save setting.	无法保存设置。
Could not save the terminal setting.	无法保存终端设置。
Could not save the background keep-awake setting.	无法保存后台保持唤醒设置。
The QR code is too large to render on this screen.	二维码过大，无法在此屏幕显示。
Could not generate a pairing QR code.	无法生成配对二维码。
Run in Background requires at least one trusted browser.	在后台运行至少需要一个受信任的浏览器。
This screen refreshes automatically after a client pairs. Press Y to generate a new QR code for another trusted client.	客户端配对后此屏幕会自动刷新。按 Y 为其他受信任客户端生成新二维码。
Open the URL in a browser and enter the PIN once, or press Y for a QR code. PINs and QR links are single-use.	请在浏览器中打开网址并输入一次 PIN，或按 Y 使用二维码。PIN 和二维码链接仅可使用一次。
Trusted browsers stay connected in background mode.\n\nNew pairing is disabled until you reopen the app. Reopening it stops background mode and brings back pairing and settings. Active terminal sessions may need to reconnect.	后台模式下受信任的浏览器仍保持连接。\n\n重新打开应用前无法进行新配对。重新打开应用会停止后台模式并恢复配对与设置，活动终端会话可能需要重新连接。
Server	服务器
QR	二维码
Pairing	配对
Settings	设置
Exit	退出
Retry	重试
Back	返回
Refresh	刷新
Choose	选择
Cancel	取消
Enable	启用
Run	运行
Disabled	已禁用
Enabled	已启用
Terminal	终端
Keep Awake in Background	后台保持唤醒
Revoke Trusted Browsers	撤销受信任浏览器
Run in Background	在后台运行
Pair by QR	通过二维码配对
Connect Wi-Fi from the launcher first.	请先在启动器中连接 Wi-Fi。
Valid for %d minutes or until it is used.	有效期为 %d 分钟，使用后立即失效。
URL	网址
Code	代码
Trusted Clients	受信任客户端
Status	状态
Loading...	正在加载…
Search	搜索
Save States	存档状态
Loading save states...	正在加载存档状态…
File Browser	文件浏览器
Log Viewer	日志查看器
Mac Dot Cleanup	Mac 点文件清理
Scan SD storage for safe macOS transfer artifacts including `.DS_Store`, AppleDouble `._*` sidecars, Spotlight or Finder metadata folders, and `__MACOSX` directories. Matches inside `__MACOSX` are removed along with the folder.	扫描 SD 存储中的安全 macOS 传输残留，包括 `.DS_Store`、AppleDouble `._*` 伴随文件、Spotlight 或 Finder 元数据文件夹以及 `__MACOSX` 目录。`__MACOSX` 内的匹配项会随文件夹一并删除。
macOS transfer artifacts. Clean Now only removes the listed items; refresh after cleanup to scan for the rest.	个 macOS 传输残留。“立即清理”只会删除列出的项目；清理后请刷新以扫描其余项目。
Tools	工具
Upload	上传
Download	下载
Delete	删除
Rename	重命名
Move	移动
Preview	预览
Close	关闭
Open	打开
Select all	全选
Select none	取消全选
Yes	是

# Web UI
The Central Scrutinizer	掌机远程管理
Device Library Workspace	设备库工作区
Library	库
Disconnect	断开连接
No active transfers	没有活动传输
Please enter the PIN shown on the device.	请输入设备上显示的 PIN。
Background mode is active on the handheld.	掌机正处于后台模式。
Pairing code	配对码
Pairing...	正在配对…
Pair Browser	配对浏览器
Reopen the app on the handheld to pair a browser or change device settings.	请在掌机上重新打开应用，以配对浏览器或更改设备设置。
Connection lost	连接已断开
The handheld app is unavailable.	掌机应用不可用。
Work is paused until the device app reconnects. This page keeps retrying automatically every 2 seconds.	设备应用重新连接前，当前工作已暂停。此页面每 2 秒自动重试。
Keep this tab open. Your current workspace will resume in place as soon as the connection returns.	请保持此标签页打开。连接恢复后，将在当前位置恢复当前工作区。
and	以及
file	个文件
files	个文件
folder	个文件夹
folders	个文件夹
item	个项目
Uploading	正在上传
Moving	正在移动
Deleting	正在删除
of	/ 共
more	更多
Platforms	平台
Browse library content by platform family.	按平台系列浏览库内容。
Show empty consoles	显示空主机
visible systems	个可见系统
Platform catalog unavailable:	平台目录不可用：
